nID_SubjectOrganJoin;sName_UA;sID_UA
1164;П/п "Ужгород - Вишнє-Нємецьке";30506 09 00 (114)
1164;Відділ митного оформлення N 1 митного поста "Ужгород";30506 09 01
1164;Відділ митного оформлення N 2 митного поста "Ужгород";30506 09 02
1164;Відділ митного оформлення N 3 митного поста "Ужгород";30506 09 03
1164;Відділ митного оформлення N 4 митного поста "Ужгород";30506 09 04
1164;М/п "Виноградів";30507 00 00
1164;М/п "Ужгород - вантажний";30508 00 00
1164;Сектор митного оформлення N 1 (Джейбіл, Ядзакі) митного поста "Ужгород - вантажний";30508 00 01
1164;Сектор митного оформлення N 2 (Чоп) митного поста "Ужгород - вантажний";30508 00 02
1164;М/п "Мукачево";30509 00 00
1164;Сектор митного оформлення N 1 (Берегово) митного поста "Мукачево";30509 00 01
1164;Сектор митного оформлення N 2 (Свалява) митного поста "Мукачево";30509 00 02
1164;М/п "Тячів";30510 00 00
1164;М/п "Малий Березний";30511 00 00
1164;П/п "Малий Березний - Убля";30511 10 00 (114)
1164;М/п "Павлове";30512 00 00
1164;П/п "Павлове - Матьовце" (станція "Павлове");30512 06 00 (124)
1164;М/п "Батєве";30513 00 00
1164;П/п "Соловка - Еперєшке" (станція "Батєве");30513 05 00 (125)
1164;М/п "Лужанка";30514 00 00
1164;П/п "Дзвінкове - Лонья";30514 14 00 (115)
1164;Відділ митного оформлення N 1 (п/п "Дзвінкове");30514 14 01
1164;П/п "Косино - Барабаш";30514 15 00 (115)
1164;Відділ митного оформлення N 2 (п/п "Косино");30514 15 02
1164;П/п "Лужанка - Берегшурань";30514 16 00 (115)
1164;Сектор митного оформлення N 1 митного поста "Лужанка";30514 16 03
1164;Сектор митного оформлення N 2 митного поста "Лужанка";30514 16 04
1164;Сектор митного оформлення N 3 митного поста "Лужанка";30514 16 05
1164;Сектор митного оформлення N 4 митного поста "Лужанка";30514 16 06
1164;М/п "Вилок";30515 00 00
1164;П/п "Вилок - Тісабеч";30515 17 00 (115)
1164;М/п "Дякове";30516 00 00
1164;П/п "Дякове - Халмеу";30516 18 00 (116)
1164;Сектор митного оформлення N 1 митного поста "Дякове";30516 18 01
1164;Сектор митного оформлення N 2 митного поста "Дякове";30516 18 02
1164;Сектор митного оформлення N 3 митного поста "Дякове";30516 18 03
1164;Сектор митного оформлення N 4 митного поста "Дякове";30516 18 04
1164;П/п "Дякове - Халмеу" (станція "Дякове");30516 11 00 (126)
1164;П/п "Ділове, Берлібаш - Валя Вишеулуй" (станція "Берлібаш");30516 12 00 (126)
1164;П/п "Тересва - Кимпулунг ла Тиса" (станція "Тересва");30516 13 00 (126)
1164;Сектор митного оформлення N 5 (залізничний) митного поста "Дякове";30516 00 05
1164;М/п "Солотвино";30517 00 00
1164;П/п "Солотвино - Сігету Мармацієй";30517 19 00 (116)
1164;П/п "Хижа - Тарна Маре";30517 20 00 (316)
1165;Служба боротьби з контрабандою та порушеннями митних правил;40000 00 01
1165;Сектор кадрової роботи;40000 00 02
1165;Відділ митних платежів;40000 00 03
