nID_FlowPropertyClass;sData;nID_Flow;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType;sGroup
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};88;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};88;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON-FRI *":"PT15M"};90;false;Ранковий прийом основний;09:00-19:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 10-14 ? * SAT *":"PT15M"};90;false;Прийом сб;10:00-15:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-14 ? * MON,WED *":"PT15M"};91;false;Прийом основний пн,ср;09:00-15:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};91;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-13 ? * FRI,SAT *":"PT15M"};91;false;Прийом основний пт,сб;09:00-14:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON,WED *":"PT15M"};93;false;Прийом основний пн,ср;09:00-16:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};93;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};93;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,THU *":"PT15M"};94;false;Прийом основний пн,чт;09:00-19:00;mo,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,WED *":"PT15M"};94;false;Прийом основний вт,ср;09:00-17:00;tu,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};94;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON-FRI *":"PT15M"};95;false;Ранковий прийом основний;09:00-17:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-13 ? * SAT *":"PT15M"};95;false;Прийом сб;09:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,WED *":"PT15M"};96;false;Прийом основний пн,ср;09:00-19:00;mo,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,THU *":"PT15M"};96;false;Прийом основний вт,чт;09:00-17:00;tu,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};96;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,WED *":"PT15M"};99;false;Прийом основний пн,ср;09:00-19:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,THU *":"PT15M"};99;false;Прийом основний вт,чт;09:00-17:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};99;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,WED *":"PT15M"};100;false;Прийом основний пн,ср;09:00-19:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,THU *":"PT15M"};100;false;Прийом основний вт,чт;09:00-17:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};100;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-15 ? * MON,WED,FRI *":"PT15M"};101;false;Ранковий прийом пн,ср,пт;09:00-16:00;mo,we,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};101;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-13 ? * SAT *":"PT15M"};101;false;Прийом сб;09:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,THU *":"PT15M"};102;false;Прийом основний пн,чт;09:00-19:00;mo,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,WED *":"PT15M"};102;false;Прийом основний вт,ср;09:00-17:00;tu,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};102;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON,WED *":"PT15M"};104;false;Прийом основний пн,ср;09:00-17:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};104;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};104;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,WED *":"PT15M"};105;false;Прийом основний пн,ср;09:00-19:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,THU *":"PT15M"};105;false;Прийом основний вт,чт;09:00-17:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};105;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON-FRI *":"PT15M"};106;false;Ранковий прийом основний;09:00-19:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 10-14 ? * SAT *":"PT15M"};106;false;Прийом сб;10:00-15:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-18 ? * MON,WED *":"PT15M"};108;false;Прийом основний пн,ср;09:00-19:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE,THU *":"PT15M"};108;false;Прийом основний вт,чт;09:00-17:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};108;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-11 ? * MON,TUE,WED,THU,FRI *":"PT15M"};109;false;Ранковий прийом основний;09:00-12:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-15 ? * MON,TUE,WED,THU,FRI *":"PT15M"};109;false;Ранковий прийом основний;13:00-16:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-12 ? * TUE *":"PT15M"};110;false;Прийом вт;09:00-13:00;tu;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
