nID;sName;sGroup_Activiti;nID_SubjectOrgan
224;смт.Царичанка Царичанський районний відділ  ;common_zags_1200000000_46;2
225;смт.Юр’ївка Юр’ївський районний відділ  ;common_zags_1200000000_47;2
226;смт.Широке Широківський районний відділ;common_zags_1200000000_48;2
227;ЦНАП Підгаєцького району (dnepr_dms-227);demoavir;2
228;Обухівська (Кіровська) селищна рада Регистрация;registration_ksr_kirov;2
229;ЦНАП Зборівського району (dnepr_dms-227);demoavir;2
230;Test Department 1 (_test_queue_DMS);sales;2
231;Test Department 2 (_test_queue_DMS);sales;2
232;Нова Каховка,регистрация;registration_khers_NewKahovT;2
233;ЦНАП Бердянск;registration_zp_berdT;2
234;Психоневрологічна лікарня - Ромазан С.В.- лікар-невропатолог;med_tern_lik;22
235;Психоневрологічна лікарня - Кулянда Т.І.- лікар-невропатолог;med_tern_lik;22
236;Психоневрологічна лікарня - Колеснікова Л.І. - головний лікар-невропатолог;med_tern_lik;22
237;Тернопільський міський відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області (dvs_619);dvs_tern;128
238;Тернопільська обласна комунальна клінічна психоневрологічна лікарня;zdov_tern;22
239;ДМС, м. Борщів, вул. І.Франка, 10 (dms_0176_Zagran_iGov);demoavir;2
240;с. Недобоївці (Хотинський р-н) Регистрация;registration_Chernivtsi_Nedoboivtsi;2
241;ДМС, м. Бучач, вул. Міцкевича, 6 (dms_0176_Zagran_iGov);demoavir;2
242;м.Хмельницький Регистрация;registration_hmel_hmelT;2
243;м.Шумськ Реєстрація;registration_shum_cn;2
244;ДМС, м. Теребовля, вул. Січових Стрільців, 13 (dms_0176_Zagran_iGov);demoavir;2
245;м.Маріуполь Регистрация;registration_don_mariupolR;2
246;м.Сєвєродонецьк Регистрация;registration_lug_severodnR;2
247;м.Дрогобич Регистрация;registration_lviv_drohobych;2
248;м.Вугледар Регистрация;registration_don_vuhledar;2
249;м.Рівне Регистрация;registration_rivne_rivneT;2
250;Тест _test_all_case;test_all_case;2
251;Відділ примусового виконання рішень управління ДВС Головного територіального управління юстиції у Тернопільській області (dvs_619);ter_jur_prym;128
252;Бережанський міжрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_ber;128
253;Борщівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_bor;128
254;Бучацький міжрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_buch;128
255;Гусятинський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_gus;128
256;Заліщицький районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_zal;128
257;Збаразький міжрайонного відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_zbar;128
258;Зборівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_zbor;128
259;Козівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_koz;128
260;Кременецький міськрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_krem;128
261;Підволочиський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_pidvol;128
262;Теребовлянський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_tereb;128
263;Тернопільський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_re;128
264;Чортківський міськрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_chort;128
265;Шумський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області(dvs_619);ter_jur_shum;128
266;Департамент екології та природних ресурсів ДніпОДА (eco_1556_EcoEkspert);demoavir;19
267;м.Чортків Регистрация;registration_tern_chortT;2
268;ЦНАП м.Дрогобич;dnepr_dms-205_lviv_drohobych;2
270;м.Боярка Регистрация;registration_kiev_boyarT;2

271;ДМС, м. Кам'янське, (Баглійський) вул. Беспалова, 2А (dms_0176_Zagran_iGov);demoavir;2
272;ДМС, м Кам'янське, (Дніпровський) пр. Перемоги, 63 demoavir;demoavir;2
273;ДМС, м.Вільногірськ, (Вільногірський МС) вул. Степова, 8 demoavir;demoavir;2
274;ДМС, м. Жовті Води (Жовтоводський МС) м. Жовті Води, вул. Горького, 12 demoavir;demoavir;2
275;ДМС, смт. Петриківка вул. Леніна, 16-а   demoavir;demoavir;2
276;ДМС, м. Синельникове, (Синельниківський) вул. Виконкомівська, 36 demoavir;demoavir;2
277;ДМС, м. Кривий Ріг,(Тернівський РС ) вул. Черкасова, 21 demoavir;demoavir;2

278;ДМС, м. Кам'янське, (Баглійський) вул. Беспалова, 2А (dms_0173_IDChangeFIO_iGov);demoavir;2
279;ДМС, м Кам'янське, (Дніпровський) пр. Перемоги, 63 demoavir;demoavir;2
280;ДМС, м.Вільногірськ, (Вільногірський МС) вул. Степова, 8 demoavir;demoavir;2
281;ДМС, м. Жовті Води (Жовтоводський МС) м. Жовті Води, вул. Горького, 12 demoavir;demoavir;2
282;ДМС, смт. Петриківка вул. Леніна, 16-а   demoavir;demoavir;2
283;ДМС, м. Синельникове, (Синельниківський) вул. Виконкомівська, 36 demoavir;demoavir;2
284;ДМС, м. Кривий Ріг,(Тернівський РС ) вул. Черкасова, 21 demoavir;demoavir;2
